gap,severity,title,patch_target,normative_action
G01,H,Strategy 8 狀態與 Persona/CapitalPool 狀態未在 Part 1 全部展開,§4 Canonical Status / State Machines,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G02,H,Role 清單與 Action 權限矩陣（Permission Truth Table）完全缺漏,§5 Permission Truth Tables,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G03,H,High-Risk Action 未列舉完整集合與 confirm token 規格,§6 High-Risk Actions / Confirmation Token,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G04,H,EnvironmentIndicator 未定義環境枚舉與切換規則,§7 Environment Model / Action Gating,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G05,H,BFF availableActions 計算規則未定義,§8 availableActions Contract,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G06,M,LanguageSwitcher 與 Persona 回應語言耦合規則模糊,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G07,M,Notification Center 訊息分類與來源未列舉,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G08,M,Right Drawer 內容類型只列舉部分,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G09,M,Global Search 範圍與 ranking 規則未列,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G10,M,Locked Decisions 與 Build Assumptions 未版本化,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G11,L,Visual Direction 描述與設計 token 對應缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G12,L,i18n QA Checklist 未列驗收工具,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G13,H,Process inventory 列 16 個 process 但 Part 3 只展開 22 頁，對應關係未明,§3 Process-to-Surface Mapping,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G14,H,Strategy §6.3 列 8 狀態，§6.5 列 actions 但未列 transition 觸發者,§4 Canonical Status / State Machines,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G15,H,Persona §11.3 狀態 active/suspended/archived，但 transition 規則缺,§4 Canonical Status / State Machines,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G16,H,Capital Pool §14.3 狀態 4 個，§14.5 mandate 欄位 6 個但無 schema type,§9 Capital Pool Mandate Schema,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G17,H,Ranking §15 6 個 scope 與 §15.6 metric library 互不對應,§10 Ranking Formula / Metric Matrix,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G18,H,Quarterly Rebalance §16 工作流 6 步但未列 reviewer / approver 角色,§11 Quarterly Rebalance Workflow,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G19,H,Evolution Program §17 Constraints / Alerts / Approvals 三 tab 未列欄位,§12 Evolution Steering Entity Schemas,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G20,M,§10.6 Incident States 列 5 狀態，但 mitigation / training feedback 子流程缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G21,M,§13.4 Training Update States 與 Memory 流程連結缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G22,M,§18 Tool / MCP / Skill 三套 lifecycle 共用 §18.3–§18.5，欄位重疊但差異未定義,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G23,M,§19 Insight States 4 個，但 lineage（§19.5）僅列要求未列欄位,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G24,M,§20.2 Job Types 列 7 種，但每種 input/output payload 未列,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G25,M,§4.4「所有長任務必須 job 化」缺判定門檻,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G26,M,§4.7 Agora handoff 必要欄位列「context / target / payload」未含 SLA,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G27,L,§4.5 audit 必欄列 5 項，但 retention period 未說,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G28,H,Strategy Detail 列 11 tabs（§Tab — Overview … Audit），但 §6.5 Phase 1 規劃為 13 tabs,§13 Management Page Tab Corrections,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G29,H,Persona Detail Tabs 列 4，未涵蓋 Persona Lab / Memory Snapshot,§13 Management Page Tab Corrections,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G30,H,Capital Pool Detail Tabs 規格僅 §6.x list，未列「Performance」「Ranking Inputs」tab schema,§13 Management Page Tab Corrections,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G31,H,Ranking Formula Detail §5.143 Formula Fields 僅列「name / scope / weights / window」未定 weights schema,§10 Ranking Formula / Metric Matrix,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G32,H,Rebalance Detail §5.213 Detail Workflow Steps 6 步，但每步 UI 元件未指定,§11 Quarterly Rebalance Workflow,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G33,H,Risk Center §Routes 列 `/management/risk` 但 §5.556 寫 `/management/risk-center`,§14 Canonical Routes,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G34,M,Command Center §4.121 Goal/Layout 列 6 cards，但 KPI list 未含實際指標,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G35,M,Strategies List §Table Columns 列 8 欄，缺 sort / filter 規格,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G36,M,Strategy Tab — Experiments §4.509 列 columns，未說明「Run experiment」action input schema,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G37,M,Strategy Tab — Risk & Alerts 與 Risk Center 內容重疊但沒定義同步來源,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G38,M,Strategy Tab — Governance 與 Governance Review 頁的 review request 是同一物件嗎？未定,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G39,M,Capabilities List §4.943–4982（Tools/MCP/Skills 通用 list）column 與 detail 欄位不對應,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G40,M,Tool Detail §5.690 Server Columns，把 Tool 與 MCP server 混寫,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G41,M,Skill Detail §5.785 Detail Tabs 4 個，但 sandbox tab 規格只一行,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G42,M,Lineage Page §5.865 Goal 寫「show lineage」未說明 graph 規模上限與 pan/zoom,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G43,M,Audit §5.936 Filters / Columns 6 欄，缺 retention 與 export 行為,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G44,M,Settings §5.976 Sections 列 i18n / theme / api，缺 Realtime SSE channel test 工具,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G45,L,Empty State Examples §6.008 缺對應頁面 ID,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G46,L,Loading / Error State §6.028 範例只給通用版,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G47,L,Acceptance Criteria 在每頁尾段風格不一致,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G48,H,Process 7–22 各列「主要流程 / 操作 / 捕捉資料 / 送回 Console 產物」，但 handoff payload schema 缺,§15 Agora Handoff Schema,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G49,H,§9.6 Signal Review captured signals 列 5 種，但 BFF 寫入 endpoint 與 throttling 未說,§16 Signal Feedback Write Contract,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G50,M,§11.4 Persona Ask Modes 列 5 種，但每 mode 的 system prompt scope 未定,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G51,M,§12.4 Committee Templates 列 4 種，每種 evidence pack schema 缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G52,M,§15 Insight Inbox 缺 「attach to strategy」action 規格,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G53,M,§18 Trainer Studio 缺 evaluation suite 詳細欄位,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G54,L,§3.2 Agora 不可做的事情列 8 條，與 §24.1/§24.2 部分重複,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G55,L,§4.1 Analyst 等 5 角色描述缺 default route,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G56,H,Daily Brief §8.116 Main Components 列 5，缺 KPI 計算公式,§17 Agora KPI / Daily Brief Formulas,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G57,H,Signal Review §8.265 Captured Signals 含「user marked confidence」但 scale 未定（1-5？1-10？）,§16 Signal Feedback Write Contract,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G58,H,Committee Room §Routes 含 list + detail，但 detail 之 evidence pack upload 規格缺,§18 Committee Evidence Pack,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G59,M,Notebook §8.378 Note Types 4 種，但 markdown extension（math / chart）未指定,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G60,M,Persona Lab §Routes / Layout 缺「sandbox 結束如何 commit 改動回 Persona」流程,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G61,M,Memory Review §9.166 Memory Types 列 5 種，但 quarantined → active 流程缺 reviewer 規格,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G62,M,Trainer Studio §9.253 Draft Status 列 4 種，但 publish 前 evaluation gate 規則缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G63,M,Skill Coaching §9.390 Evaluation Suites 與 Trainer Studio Evaluation Suites 是否同一物件未定,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G64,L,Agora Channels §9.464 Channel Types 4 個，連結到 Console ChannelDetail 之欄位不全,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G65,L,Handoff §9.520 Handoff Types 列 7 種與 Part 4 §22.2 列 6 種不一致,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G66,H,§3.6 Command Response Envelope 含 `confirmToken`，但 §2.5 confirm flow endpoint 缺,§6 High-Risk Actions / Confirmation Token,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G67,H,§6.x Strategy Spec 列 23 欄，但 `availableActions` 結構與 §3.5 list envelope 不一致,§8 availableActions Contract,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G68,H,§6.7 Quarterly Rebalance schema 缺 `reviewer[]` / `approver[]` 欄,§11 Quarterly Rebalance Workflow,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G69,M,§7.3 Agora Session / Message schema 缺 attachment / inline-citation 欄位,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G70,M,§8 BFF Endpoint list 缺以下：,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G71,M,§10 i18n header 規範了 BFF locale，但 `Accept-Language` fallback 鏈未定義,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G72,M,Realtime SSE channel 名稱與 payload 列表缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G73,M,Job payload §6.11 含 `progress` 但更新節流率與 chunk 大小未定,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G74,M,§3.7 Error Format 列 3 欄，缺 i18nKey / 多語錯誤訊息對應,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G75,L,§3.8 日期時間格式僅指 ISO 8601，未定 timezone 顯示策略,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G76,L,§3.9 Money 格式僅列 BigDecimal string，未定顯示精度,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G77,L,§6.10 Review Request schema 缺 cc / observer 角色欄位,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G78,H,§17.x 18 個 state machine 中，與 Part 2 / Part 6 對應的狀態值有 5 處不一致,§4 Canonical Status / State Machines,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G79,M,§8.3 HighRiskConfirmationModal 列 props 6 個，未定 memo 字數限制,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G80,M,§11.3 IncidentTimeline 欄位 4，未含 attachment（log file）規格,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G81,L,§6.x StatusBadge 顏色映射僅敘述 4 級，無 token 對照,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G82,L,§13.1 FormulaBuilder 操作描述 5 條，缺 keyboard shortcut spec,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G83,L,§15.x Agora components 與 Console components 命名重複（如 `MessageAnnotationBar`）,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G84,L,§11.5 EventStreamPanel 缺 retain count,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G85,L,§16 Forms / Editors 三個 component 未列驗證策略,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G86,H,§QA Checklist 要求「Emergency Kill 必須可在 10 秒內觸發」，但 entry point 與 target 未列,§6 High-Risk Actions / Confirmation Token,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G87,M,§7.x Mock data section 各列 5–8 筆 mock，但與 Part 6 schema 欄位不完全對齊,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G88,L,§8 Demo Scenarios A–F 與 page acceptance criteria 對應缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G89,L,§2.x Phase 1–6 順序與 Part 3 / Part 5 章節編號不對應,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G90,L,§3 Lovable Master Prompt 含 system prompt 全文但 token budget 未列,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G91,L,§6 Required Routes 列 36 routes，但未標 dynamic param 規範,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G92,L,§7.x Mock 命名 (mock-strategy-1) 與 Part 6 範例 id 命名不一致,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
